name,pred,gt,dice,iou,precision,recall,specificity,hd95,object_f1,object_precision,object_recall,object_dice,n_pred,n_gt
testA_1,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_1.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_1.png,0.3583416055568145,0.2182802504902881,0.7730802251285598,0.23322311338486554,0.5831274205775524,43.829214001622255,0.0,0.0,0.0,0.0,24,9
testA_10,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_10.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_10.png,0.6253909729279289,0.4549591633784564,0.5977325021245244,0.6557332741312213,0.5367001763334446,30.0,0.029850746268656712,0.027777777777777776,0.03225806451612903,0.8198598949243457,36,31
testA_11,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_11.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_11.png,0.48580933217148164,0.3208376213761615,0.3908938267363997,0.6416006013056497,0.839774457870486,143.60013927569847,0.04878048780487805,0.02702702702702703,0.25,0.8706369756736783,37,4
testA_12,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_12.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_12.png,0.7279905647810612,0.5723153811801991,0.9028286293472457,0.6098831183074912,0.9068330781748946,52.55473337388365,0.08450704225352113,0.047619047619047616,0.375,0.7459237762189788,63,8
testA_13,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_13.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_13.png,0.5729623674974352,0.4015047357193252,0.5777564058557548,0.5682472332231919,0.7604075714116861,158.8238017426859,0.020202020202020204,0.01098901098901099,0.125,0.8895979579517562,91,8
testA_14,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_14.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_14.png,0.514619771320629,0.3464565916440742,0.3928136552261204,0.7459190031187828,0.7494169863845651,181.81020319144415,0.04938271604938271,0.02631578947368421,0.4,0.8847773114699751,76,5
testA_15,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_15.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_15.png,0.46206866980538,0.3004481804455999,0.7473516306348514,0.33441429979233644,0.8014118673185326,73.0,0.0606060606060606,0.03333333333333333,0.3333333333333333,0.7983576076730503,60,6
testA_16,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_16.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_16.png,0.8011076367828718,0.6682064723760506,0.7373044917516433,0.8769993732807637,0.5830318346309926,72.56479855410994,0.048780487804878044,0.027777777777777776,0.2,0.8204620240428744,36,5
testA_17,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_17.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_17.png,0.5490170631681929,0.3783759610355181,0.80600474727662,0.4162874035465559,0.8478923911970428,61.17678870295303,0.07407407407407408,0.04054054054054054,0.42857142857142855,0.7569256198074689,74,7
testA_18,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_18.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_18.png,0.5423225645517578,0.37204566069649647,0.5471787159363241,0.5375518505496463,0.7036043939761866,74.06078584514209,0.11267605633802816,0.0784313725490196,0.2,0.7349649491185305,51,20
testA_19,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_19.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_19.png,0.5636356111099405,0.39240433379656375,0.6220288564223404,0.5152648829675818,0.6572078066682,28.820987656040685,0.02380952380952381,0.019230769230769232,0.03125,0.7594921966131206,52,32
testA_2,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_2.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_2.png,0.4302559231343265,0.2740930381446246,0.3654935369290265,0.5229114401846802,0.5372685041133854,129.6919426949878,0.0,0.0,0.0,0.0,55,2
testA_20,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_20.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_20.png,0.6640354532033785,0.4970457148708581,0.6798306162668372,0.6489575929891763,0.6933624506061475,88.27202161211488,0.10526315789473685,0.06060606060606061,0.4,0.7035856707814345,33,5
testA_21,D:\1unified_seg\test_results\visuals\uagland_glas\masks\testA_21.png,D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\test_labels\testA_21.png,0.5360592980501285,0.366175554336206,0.550850167610098,0.5220419573136763,0.6178312574783955,53.85164807134504,0.028169014084507043,0.017543859649122806,0.07142857142857142,0.7416459443518852,57,14
