image,name,area_ratio,tissue_ratio,mean_score_fg
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_43.png,train_43,0.35442343344456806,0.9048696082066494,0.6797325015068054
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_44.png,train_44,0.40222963786923743,0.9376665430725497,0.6904935240745544
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_46.png,train_46,0.3367766654307255,0.9344530960326288,0.6832575798034668
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_47.png,train_47,0.4760004943764677,0.6650203930292918,0.7915083169937134
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_48.png,train_48,0.34376962056606103,0.8498356198244964,0.7068927884101868
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_49.png,train_49,0.43807934742306265,0.9401062909405512,0.7261525988578796
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_5.png,train_5,0.40602150537634407,0.9452181436163639,0.6830027103424072
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_50.png,train_50,0.3397684555331932,0.9370917145459248,0.6555786728858948
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_51.png,train_51,0.3736373748609566,0.9828080583364232,0.6920072436332703
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_52.png,train_52,0.26978371029538994,0.9431837844518601,0.6231423020362854
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_53.png,train_53,0.3175355333086145,0.8844839945618589,0.681113600730896
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_55.png,train_55,0.362214806575207,0.9522753676924979,0.6249272227287292
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_56.png,train_56,0.44330490668644174,0.7026374984550735,0.7269594073295593
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_57.png,train_57,0.45940427635644543,0.9322605363984674,0.7015884518623352
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_58.png,train_58,0.35910270671116057,0.9765616116672846,0.6797915697097778
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_59.png,train_59,0.3685057471264368,0.979117538005191,0.7071524262428284
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_6.png,train_6,0.302313681868743,0.9694673093560746,0.6255746483802795
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_61.png,train_61,0.3541465826226672,0.8884068718329008,0.6505188941955566
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_64.png,train_64,0.46053392658509457,0.8145618588555185,0.698268473148346
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_65.png,train_65,0.3347373625015449,0.8608033617599802,0.6530095934867859
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_67.png,train_67,0.25910270671116054,0.35734767025089603,0.7629508972167969
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_68.png,train_68,0.45162526263749847,0.8834235570386849,0.6980786323547363
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_69.png,train_69,0.36018044741070326,0.9799777530589544,0.7094837427139282
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_70.png,train_70,0.40668396984303545,0.9878136200716846,0.7144163846969604
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_72.png,train_72,0.3399826968236312,0.8914670621678408,0.679703414440155
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_73.png,train_73,0.3213891978741812,0.9845532072673341,0.6504606604576111
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_74.png,train_74,0.38697070819428997,0.9852354467927327,0.7151792049407959
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_75.png,train_75,0.43723149178099124,0.9665875664318379,0.6869909167289734
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_77.png,train_77,0.3826300828080583,0.796625880608083,0.7235965132713318
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_78.png,train_78,0.2616586330490669,0.9621876158694846,0.6380613446235657
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_79.png,train_79,0.3099666295884316,0.9211123470522803,0.689489483833313
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_8.png,train_8,0.3872005932517612,0.996440489432703,0.6565056443214417
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_80.png,train_80,0.47798541589420346,0.9441156840934372,0.6747241020202637
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_81.png,train_81,0.44886169818316646,0.9156791496724755,0.6853225231170654
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_83.png,train_83,0.3548832035595106,0.9311457174638487,0.6438145637512207
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_84.png,train_84,0.41542330511174325,0.932058302132173,0.6891245245933533
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_85.png,train_85,0.27560993696700037,0.7619775058707206,0.6984573006629944
D:\1unified_seg\Gland_Segmentation\UAGlandSeg\train_out\glas\uagland\splits\train_images\train_9.png,train_9,0.3328982820417748,0.974176245210728,0.651498556137085
